LOCATION,HWF_0010,HWF_0010-footnote,HWF_0010-footnote-short,HWF_0006,HWF_0006-footnote,HWF_0006-footnote-short,HWF_0001,HWF_0001-footnote,HWF_0001-footnote-short,MDG_0000000003_15_19,MDG_0000000003_15_19-footnote,MDG_0000000003_15_19-footnote-short,SDGSUICIDE,SDGSUICIDE-footnote,SDGSUICIDE-footnote-short,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP-footnote,FINPROTECTION_CATA_TOT_10_POP-footnote-short,FINPROTECTION_CATA_TOT_25_POP,FINPROTECTION_CATA_TOT_25_POP-footnote,FINPROTECTION_CATA_TOT_25_POP-footnote-short,MDG_0000000003_10_14,MDG_0000000003_10_14-footnote,MDG_0000000003_10_14-footnote-short,SDGFPALL,SDGFPALL-footnote,SDGFPALL-footnote-short,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV-footnote,SDGHEPHBSAGPRV-footnote-short,SDGPOISON,SDGPOISON-footnote,SDGPOISON-footnote-short,WHOSIS_000002_BTSX,WHOSIS_000002_BTSX-footnote,WHOSIS_000002_BTSX-footnote-short,WHOSIS_000002_FMLE,WHOSIS_000002_FMLE-footnote,WHOSIS_000002_FMLE-footnote-short,WHOSIS_000002_MLE,WHOSIS_000002_MLE-footnote,WHOSIS_000002_MLE-footnote-short,HWF_0014,HWF_0014-footnote,HWF_0014-footnote-short,M_Est_tob_curr_std,M_Est_tob_curr_std-footnote,M_Est_tob_curr_std-footnote-short,MDG_0000000025,MDG_0000000025-footnote,MDG_0000000025-footnote-short,WHS4_100,WHS4_100-footnote,WHS4_100-footnote-short,MDG_0000000020,MDG_0000000020-footnote,MDG_0000000020-footnote-short,SDGWSHBOD,SDGWSHBOD-footnote,SDGWSHBOD-footnote-short,SDGHIV,SDGHIV-footnote,SDGHIV-footnote-short,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE-footnote,MALARIA_EST_INCIDENCE-footnote-short,NCDMORT3070,NCDMORT3070-footnote,NCDMORT3070-footnote-short,SA_0000001688,SA_0000001688-footnote,SA_0000001688-footnote-short,MDG_0000000007,MDG_0000000007-footnote,MDG_0000000007-footnote-short,MCV2,MCV2-footnote,MCV2-footnote-short,SDGAIRBODA,SDGAIRBODA-footnote,SDGAIRBODA-footnote-short,WHOSIS_000003,WHOSIS_000003-footnote,WHOSIS_000003-footnote-short,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED-footnote,UHC_INDEX_REPORTED-footnote-short,SDGIHR2021,SDGIHR2021-footnote,SDGIHR2021-footnote-short,PCV3,PCV3-footnote,PCV3-footnote-short,MDG_0000000026,MDG_0000000026-footnote,MDG_0000000026-footnote-short,RS_198,RS_198-footnote,RS_198-footnote-short,SDGNTDTREATMENT,SDGNTDTREATMENT-footnote,SDGNTDTREATMENT-footnote-short,WHOSIS_000001_BTSX,WHOSIS_000001_BTSX-footnote,WHOSIS_000001_BTSX-footnote-short,WHOSIS_000001_FMLE,WHOSIS_000001_FMLE-footnote,WHOSIS_000001_FMLE-footnote-short,WHOSIS_000001_MLE,WHOSIS_000001_MLE-footnote,WHOSIS_000001_MLE-footnote-short,SDGODA01,SDGODA01-footnote,SDGODA01-footnote-short,SDGHPVRECEIVED,SDGHPVRECEIVED-footnote,SDGHPVRECEIVED-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote,SUD_TREATMENTSERVICES_COVERAGE_ALCOHOL-footnote-short,AMR_INFECT_MRSA,AMR_INFECT_MRSA-footnote,AMR_INFECT_MRSA-footnote-short,AMR_INFECT_ECOLI,AMR_INFECT_ECOLI-footnote,AMR_INFECT_ECOLI-footnote-short,SUD_TREATMENTSERVICES_COVERAGE_DRUGS,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote,SUD_TREATMENTSERVICES_COVERAGE_DRUGS-footnote-short,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEALTHFACILITIESESSENTIALMEDS-footnote,SDGHEALTHFACILITIESESSENTIALMEDS-footnote-short
Costa Rica,10.89,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,30.71,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,26.87,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.8,Registration National Statistics & WPP2024,,8.1,,,7.41,,,1.13,,,1.1,Registration National Statistics & WPP2024,,80.8,2018.    Costa Rica 2018 Multiple Indicator Cluster Survey,,0.0,,,0.1,,,67.6,,,69.1,,,66.3,,,12.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.9,The most recent survey was conducted in 2015. This is a projection.,,99," Estadísticas Vitales 2021: Población, Nacimientos Defunciones y Matrimonios [recurso electrónico] / Instituto Nacional de Estadística y Censos. San José, Costa; 2022.",,99,,,9.9,,,2.9,,,0.17,,,0.30,,,9.9,,,3.8,,,10.5,,,83,,,18,,,7.2,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,66,,,99,,,24,,,15.5,,,31 336,Aggregation across diseases,,78.6,,,81.5,,,75.9,,,0.34,,,66,,,,,,,,,,,,,,,,,
Côte d'Ivoire,0.14,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.93,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.66,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,7.4,,,8.33,,,0.56,,,2.0,Côte d'Ivoire 2021 Census,,52,2022.    Côte d’Ivoire 2022 PMA Phase 3,,3.4,,,1.0,,,55.4,,,56.4,,,54.6,,,0.39,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.8,The most recent survey was conducted in 2016. This is a projection.,,84,"Doctor, nurse/midwife, caregiver/warden Institut National de la Statistique-INS et ICF 2022. Enquête Démographique et de Santé de Côte d’Ivoire, 2021. Rockville, Maryland, USA : INS/Côte d’Ivoire et ICF.",,79,,,119,,,47,,,0.35,,,251.43,,,22.7,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,4.5,,,67.1,,,43,,,192,,,28.2,,,43,,,47,,,79,,,359,,,20.6,,,20 569 107,Aggregation across diseases,,63.5,,,66.0,,,61.4,,,6.09,,,73,,,,,,,,,,,,,,,,,
Croatia,9.46,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,79.99,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,39.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.7,Registration National Statistics,,15.7,,,,,,,,,0.0,Registration National Statistics,,,,,0.1,,,0.3,,,66.8,,,68.5,,,65.1,,,8.78,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,37.0,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.,,100," Natural Change in Population, 2023. Zagreb: Croatian Bureau of Statistics; 2024.",,93,,,3.5,,,2.7,,,<0.1,,,,,,15.9,,,10.8,,,4.6,,,90,,,31,,,2.8,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,75,,,90,,,3,,,8.1,,,8,Aggregation across diseases,,76.9,,,80.0,,,73.8,,,,,,55,,,,,,53.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,16.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,23.5,,,,,
Cuba,18.42,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,76.03,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,95.42,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,48.6,Registration National Statistics & WPP2024,,13.8,,,,,,,,,1.3,Registration National Statistics & WPP2024,,86.9,2019.    Cuba 2019 Multiple Indicator Cluster Survey,,0.0,,,0.1,,,64.6,,,66.0,,,63.4,,,,,,17.4,The most recent survey was conducted in 2019. This is a projection.,,100," Plataforma ODS Cuba, actualización 2021",,99,,,7.9,,,9.7,,,0.18,,,,,,17.6,,,5.6,,,8.3,,,99,,,41,,,4.2,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,90,,,,,,35,,,5.4,,,124,Aggregation across diseases,,73.7,,,76.5,,,71.1,,,0.43,,,,,,,,,,,,,,,,,,,,
Cyprus,8.19,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,38.94,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,35.56,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.9,Registration Eurostat,,3.0,,,14.74,,,1.59,,,0.0,Registration Eurostat,,,,,0.3,,,0.3,,,70.7,,,71.1,,,70.3,,,7.27,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,35.6,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.,,100," Health Monitoring Unit (HMU), Ministry of Health",,95,,,5.5,,,1.6,,,No data,,,,,,8.5,,,5.2,,,3.5,"Some UN IGME indicators are calculated using population and live birth numbers from the World Population Prospects: The 2024 revision (WPP). The WPP numbers for Cyprus refer to the entire country. However, the underlying data used to calculate mortality rates estimates, provided by the Health Monitoring Unit of the Cyprus Ministry of Health, cover only the government-controlled areas, whereas according to Eurostat, the number of live births in 2023 was 10,295 (https://ec.europa.eu/eurostat/databrowser/view/tps00204/), the population on 1 January 2023 was 920,701 (https://ec.europa.eu/eurostat/databrowser/view/tps00001/), the population under 5 was 49,326,  adolescent population was 99,207 and the number of women of reproductive age was 235,268 (https://doi.org/10.2908/DEMO_PJAN).",,80,,,16,,,1.9,"Some UN IGME indicators are calculated using population and live birth numbers from the World Population Prospects: The 2024 revision (WPP). The WPP numbers for Cyprus refer to the entire country. However, the underlying data used to calculate mortality rates estimates, provided by the Health Monitoring Unit of the Cyprus Ministry of Health, cover only the government-controlled areas, whereas according to Eurostat, the number of live births in 2023 was 10,295 (https://ec.europa.eu/eurostat/databrowser/view/tps00204/), the population on 1 January 2023 was 920,701 (https://ec.europa.eu/eurostat/databrowser/view/tps00001/), the population under 5 was 49,326,  adolescent population was 99,207 and the number of women of reproductive age was 235,268 (https://doi.org/10.2908/DEMO_PJAN).",,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,61,,,74,,,14,,,3.9,,,2,Aggregation across diseases,,81.9,,,84.0,,,79.9,,,,,,92,,,,,,55.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,40.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Czechia,7.39,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,95.3,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,43.52,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,7.2,Registration Eurostat,,13.3,,,4.64,,,0.83,,,0.1,Registration Eurostat,,,,,0.1,,,0.6,,,66.7,,,68.3,,,65.0,,,7.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,29.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2021. This is a projection.,,100, Data from country consultation. Source: National Register of Mothers at Childbirth. Prague: Ústav zdravotnických informací a statistiky ?R [Institute of Health Information and Statistics of the Czech Republic]; 2019. ,,94,,,4.8,,,4.1,,,<0.1,,,,,,14.2,,,13.7,,,2.6,,,90,,,33,,,1.3,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,77,,,,,,3,,,5.2,,,13,Aggregation across diseases,,77.1,,,80.3,,,74.0,,,,,,72,,,,,,7.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,14.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,14.8,,,,,
Democratic People's Republic of Korea,2.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,43.82,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,36.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,9.3,,,,,,,,,,,,89.6,2017.    Democratic People's Republic of Korea 2017 Multiple Indicator Cluster Survey,,0.2,,,1.3,,,64.7,,,66.4,,,63.2,,,3.91,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.5,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017. This is a projection.,,100," DPR Korea Multiple Indicator Cluster Survey 2017, Survey Findings Report. Pyongyang: Central Bureau of Statistics of the DPR Korea, United Nations Children's Fund (UNICEF);  2017. ",,16,,,513,,,4.1,,,No data,,,0.31,,,23.7,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,4.8,,,18.0,The UN IGME estimates are not the official statistics of the Democratic People's Republic of Korea.,,16,,,213,,,9.6,The UN IGME estimates are not the official statistics of the Democratic People's Republic of Korea.,,68,,,59,,,,,,67,,,,,,5 301 031,Aggregation across diseases,,72.6,,,75.6,,,69.8,,,0.2,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,0.04,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.08,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,109.0,Democratic Republic of the Congo 2017-2018 Multiple Indicator Cluster Survey,,8.8,,,,,,,,,3.4,Democratic Republic of the Congo 2017-2018 Multiple Indicator Cluster Survey,,33,2017-2018.    Democratic Republic of the Congo 2017-2018 Multiple Indicator Cluster Survey,,3.3,,,1.3,,,53.2,,,54.3,,,52.2,,,0.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,12.2,The most recent survey was conducted in 2017-18. This is a projection.,,85," INS, Enquête par grappes à indicateurs multiples, 2017-2018, rapport de résultats de l’enquête. Kinshasa, République Démocratique du Congo; 2019.",,60,,,316,,,52.3,,,0.17,,,313.27,,,25.1,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,2.0,,,73.2,,,18,,,212,,,25.3,,,42,,,37,,,59,,,427,,,16.3,,,56 981 384,Aggregation across diseases,,61.6,,,63.9,,,59.4,,,6.52,,,,,,,,,88.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,72.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Denmark,7.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,121.86,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,44.98,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.2,Registration Eurostat,,10.5,,,,,,,,,0,Registration Eurostat,,,,,0.7,,,0.0,,,70.1,,,70.4,,,69.7,,,5.81,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.2,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.,,96," Det Medicinske Fødselsregister (MFR), MFR-kuben, Institutional deliveries [online database]. Copenhagen: Sundhedsdatastyrelsen [National Board of Health Data, Denmark]; 2023 (https://www.esundhed.dk/Emner/Graviditet-foedsler-og-boern/Nyfoedte-og-foedsler-1997-#tabpanel6B95F8298EB444F48C3403E7B75B7202, accessed 21 September, 2023, in Danish).",,97,,,3.6,,,4.1,,,<0.01,,,,,,10.7,,,10.0,,,3.4,,,93,,,13,,,1.8,,,≥80 ,Country index values of 80 and over are reported as ≥80 for presentation purposes and to avoid comparisons that are not meaningful given the inability of the index to adequately distinguish between countries with high level of service coverage provision.,,97,,,97,,,4,,,2.3,,,0,Aggregation across diseases,,81.2,,,82.9,,,79.5,,,,,,80,,,,,,1.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,7.3,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
Djibouti,,,,1.94,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,2.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,8.0,,,1.47,,,0.26,,,,,,,,,0.3,,,1.5,,,57.0,,,57.7,,,56.3,,,,,,,,,,,,72,,,218,,,37.6,,,0.29,,,45.04,,,20.6,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.4,,,50.4,,,64,,,181,,,28.2,,,44,,,30,,,72,,,162,,,23.3,,,110 561,Aggregation across diseases,,64.9,,,66.7,,,63.0,,,14.86,,,,,,,,,,,,,,,,,,,,
Dominica,1.17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,67.6,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,11.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,100,"Trained personnel PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos, accessed 30 December 2021). ",,56,,,16,,,,,,No data,,,,,,,,,7.0,,,35.5,,,87,,,,,,30.8,,,49,,,71,,,,,,36,,,11.0,,,419,Aggregation across diseases,,,,,,,,,,,0.68,,,65,,,,,,,,,,,,,,,,,
Dominican Republic,2.69,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,20.6,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.26,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,77.1,Dominican Republic 2019 Multiple Indicator Cluster Survey,,4.2,,,8.17,,,0.94,,,3.6,Dominican Republic 2019 Multiple Indicator Cluster Survey,,77.4,2019.    Dominican Republic 2019 Multiple Indicator Cluster Survey,,0.1,,,0.3,,,63.6,,,65.5,,,61.8,,,0.19,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,10.5,The most recent survey was conducted in 2019. This is a projection.,,99,"Médico general (17.2%), Enfermera o comadrona(31.4%), Ginecóloga u Obstetra (49.8%), Médico de otra especialidad (0.8%) Encuesta Nacional de Hogares de Propósitos Múltiples con Metodología de Encuestas de Índicadores Múltiples por Conglomerado (ENHOGAR MICS 2019)",,90,,,42,,,5.8,,,0.36,,,0.04,,,17.4,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,5.2,,,31.4,,,70,,,42,,,21.7,,,77,,,60,,,86,,,124,,,27.4,,,2 677 790,Aggregation across diseases,,73.3,,,76.8,,,70.2,,,0.35,,,66,,,,,,,,,,,,,,,,,
Ecuador,3,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,25.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,23.13,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,49.9,Registration National Statistics & WPP2024,,7.6,,,,,,,,,2.4,Registration National Statistics & WPP2024,,82.5,"2018-2019. Including fecund married women, currently sexually active, currently exposed to the risk of pregnancy, not wanting to become pregnant, and not using a method of contraception. Excluding women who are currently pregnant, currently seeking to become pregnant, subfecund, or who are not sexually active.  Ecuador 2018 Encuesta Nacional de Salud y Nutrición",,0.1,,,1.0,,,64.3,,,66.1,,,62.8,,,0.41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,10.2,The most recent survey was conducted in 2018. This is a projection.,,96,"Doctors, obstetrician and nurse Registro Estadístico de Nacidos Vivos, Instituto Nacional de Estadística y Censos",,70,,,58,,,4.7,,,0.12,,,0.06,,,13.2,,,2.7,,,13.1,,,60,,,28,,,7.1,,,77,,,54,,,71,,,55,,,23.4,,,28 918,Aggregation across diseases,,74.0,,,77.2,,,71.0,,,0.52,,,50,,,,,,,,,,,,,,,50,* data from only capital city ,
Egypt,1.87,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,17.94,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,6.71,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,37.1,Registration National Statistics & WPP2024,,0.6,,,31.14,,,6.1,,,,,,,,,0.2,,,0.2,,,60.4,,,61.1,,,59.7,,,4.26,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,24.7,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016-17. This is a projection.,,97, Egypt Family Health Survey (EFHS) 2021.,,96,,,9.2,,,4.8,,,<0.1,,,0,,,26.0,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,0.1,,,17.5,,,95,,,106,,,9.3,,,70,,,90,,,,,,17,,,9.4,,,2 978 436,Aggregation across diseases,,69.1,,,71.7,,,66.7,,,0.24,,,,,,,,,69.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,87.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
El Salvador,1.57,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,21.79,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,16.16,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,50.2,Registration National Statistics & WPP2024,,7.6,,,4.06,,,1.38,,,2.1,Registration National Statistics & WPP2024,,73.1,2021. Unmet need data do not necessarily correspond to the 2012 DHS definition.   El Salvador 2021 Encuesta Nacional de Salud,,0.0,,,0.8,,,62.2,,,65.5,,,58.7,,,1.59,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,8.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2014-15. This is a projection.,,98,  Encuesta Nacional de Salud 2021,,96,,,84,,,6.1,,,0.13,,,0,,,12.6,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,3.4,,,10.4,,,71,,,40,,,4.4,,,78,,,91,,,99,,,39,,,21.5,,,1 475 552,Aggregation across diseases,,71.7,,,76.2,,,66.8,,,2.62,,,36,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,13.75,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,1.53,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,7.0,,,,,,,,,,,,,,,6.1,,,0.6,,,53.3,,,53.5,,,52.9,,,0.08,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,,,,74,,,274,,,29.7,,,No data,,,228.82,,,20.3,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,6.1,,,70.6,,,28,,,168,,,27.2,,,46,,,49,,,,,,174,,,11.7,,,1 046 007,Aggregation across diseases,,61.6,,,63.2,,,60.2,,,0.42,,,,,,,,,,,,,,,,,,,,
Eritrea,0.2,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,15.43,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,0.88,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,13.2,,,,,,,,,,,,,,,1.0,,,2.1,,,55.4,,,57.2,,,53.7,,,0.67,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,,,,,,,95,,,65,,,66.5,,,<0.1,,,63.39,,,27.3,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",,1.3,,,35.4,,,85,,,238,,,16.4,,,45,,,60,,,95,,,291,,,17.7,,,807 518,Aggregation across diseases,,63.6,,,66.2,,,60.9,,,5.62,,,78,,,,,,,,,,,,,,,,,
Estonia,10.18,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,66.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,34.69,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,5.1,Registration Eurostat,,14.9,,,,,,,,,0.0,Registration Eurostat,,,,,0.3,,,1.4,,,66.7,,,69.2,,,64.1,,,7.13,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",,28.3,The most recent survey was conducted in 2020. This is a projection.,,99," Estonian Medical Birth Registry (EMBR). SR03: Births by hospital and women's place of residence, 2022. Tallinn: National Institute for Health Development [Estonia]; 2023.",,90,,,8.2,,,2.6,,,<0.1,,,,,,15.5,,,10.5,,,2.1,,,84,,,13,,,1.0,,,79,,,73,,,,,,5,,,4.4,,,0,Aggregation across diseases,,77.1,,,81.2,,,72.8,,,,,,52,,,,,,3.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center,,11.6,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center",,,,,,,
