measure,LOCATION,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Bosnia and Herzegovina,Both,Age-standardized,Mental disorders,Rate,2021,1872.6048904848833,2490.636705226552,1319.4175174805061
DALYs (Disability-Adjusted Life Years),Bosnia and Herzegovina,Both,Age-standardized,Schizophrenia,Rate,2021,191.5129809885003,251.5650393676988,138.7364370606595
DALYs (Disability-Adjusted Life Years),Bosnia and Herzegovina,Both,Age-standardized,Depressive disorders,Rate,2021,499.8707641788409,748.4862008139918,327.9111266629613
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Bipolar disorder,Rate,2021,151.32041673494132,217.5653201206469,93.4169333991058
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Anxiety disorders,Rate,2021,675.1927097188537,983.1545361236307,439.3148759038085
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Eating disorders,Rate,2021,45.33795467682018,68.52305508028036,25.567112913375027
DALYs (Disability-Adjusted Life Years),Slovenia,Both,Age-standardized,Mental disorders,Rate,2021,1917.542207187407,2522.8821857973385,1374.1119421939736
DALYs (Disability-Adjusted Life Years),Slovenia,Both,Age-standardized,Schizophrenia,Rate,2021,194.60733531007835,251.61127352945908,138.2668283809889
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Autism spectrum disorders,Rate,2021,110.76946813189684,209.9152269355398,51.79349802587417
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Autism spectrum disorders,Rate,2021,356.5095809278311,667.6556938619524,186.38898268203945
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,87.62951906287255,132.84836410466582,50.2813170674751
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Conduct disorder,Rate,2021,70.97367829965535,115.52064326789926,39.62400136642843
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,13.123670280531,31.68431386500861,3.8206986667499514
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Other mental disorders,Rate,2021,112.40077138599081,163.18741719641235,72.83137250631006
DALYs (Disability-Adjusted Life Years),Russian Federation,Both,Age-standardized,Mental disorders,Rate,2021,1752.0786798915206,2279.663577896386,1257.8367452611956
DALYs (Disability-Adjusted Life Years),Russian Federation,Both,Age-standardized,Schizophrenia,Rate,2021,128.09566939497125,158.82366855211617,94.50855858670317
DALYs (Disability-Adjusted Life Years),Mongolia,Both,Age-standardized,Bipolar disorder,Rate,2021,102.53228588136076,149.41494319823016,61.54235186096956
DALYs (Disability-Adjusted Life Years),Mongolia,Both,Age-standardized,Anxiety disorders,Rate,2021,452.22495448615007,673.7966709766631,284.8440784363179
DALYs (Disability-Adjusted Life Years),Kenya,Both,Age-standardized,Mental disorders,Rate,2021,1799.8239646202396,2342.200381644574,1310.2623575786572
DALYs (Disability-Adjusted Life Years),Kenya,Both,Age-standardized,Schizophrenia,Rate,2021,186.04211405322218,236.44829273255473,139.24719458319564
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Mental disorders,Rate,2021,1282.6327241199813,1646.2727069483224,931.098021983663
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Mental disorders,Rate,2021,2471.1788910438886,3196.735098977163,1853.713738900997
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Schizophrenia,Rate,2021,259.8578938964718,319.50043467178074,186.2846216467917
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Depressive disorders,Rate,2021,818.4167009369286,1149.8587753972633,570.1756610000195
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Bipolar disorder,Rate,2021,129.0220209250514,180.90991926649133,86.82506396936618
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Anxiety disorders,Rate,2021,693.1991666569669,1000.9816387338258,464.9476636004863
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Eating disorders,Rate,2021,62.684500398897974,91.81053668280921,36.45268691678305
DALYs (Disability-Adjusted Life Years),United States of America,Both,Age-standardized,Autism spectrum disorders,Rate,2021,200.32204244545636,352.5804045061742,103.25025213085249
DALYs (Disability-Adjusted Life Years),China,Both,Age-standardized,Mental disorders,Rate,2021,1659.2714379164827,2190.9611976217643,1231.4137555352063
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Depressive disorders,Rate,2021,916.5830213658409,1375.6351009090408,580.5131552981378
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Bipolar disorder,Rate,2021,166.7856482354515,245.87154341946538,102.17501342063197
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Anxiety disorders,Rate,2021,978.9023079314486,1459.563519442273,630.570294816078
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Eating disorders,Rate,2021,80.92753158229198,122.15051623465929,47.377576296070295
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Autism spectrum disorders,Rate,2021,186.39775301801828,337.4633526954257,90.55408540332324
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,42.76683194175809,64.60950477790514,24.44307902197972
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Conduct disorder,Rate,2021,70.12238788639192,107.01297163696925,39.85245620603863
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,25.835028636325983,53.69946532544861,9.7829319078539
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Other mental disorders,Rate,2021,119.62040026184634,169.37144060183402,76.257028452117
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Depressive disorders,Rate,2021,758.2834382399352,1107.104955164945,500.0288852376555
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Bipolar disorder,Rate,2021,95.66718493964535,136.93369938239763,58.33117328009975
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Anxiety disorders,Rate,2021,556.6147976497294,801.4590019077991,354.2955151148199
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Eating disorders,Rate,2021,37.32341353931996,55.91177082065787,22.004937211992157
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Depressive disorders,Rate,2021,761.9811841842949,1047.0888439309192,528.5969346242949
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Bipolar disorder,Rate,2021,159.14042241549464,222.15214722420316,97.69545225832768
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Anxiety disorders,Rate,2021,1404.7528820404364,2047.8488177780675,885.2211490133882
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Eating disorders,Rate,2021,93.47777931407711,137.3190349349347,55.3270464635067
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Autism spectrum disorders,Rate,2021,163.71936661171725,281.78814050900485,88.17447541743888
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,49.33427012010282,73.33083036913195,28.6070345512625
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Conduct disorder,Rate,2021,72.86381832643576,114.24600706553066,41.61479531415232
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,25.971322946641838,51.680912547311216,10.082630750119916
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Other mental disorders,Rate,2021,119.38735270279382,167.74400846795749,77.61060211185566
DALYs (Disability-Adjusted Life Years),Costa Rica,Both,Age-standardized,Mental disorders,Rate,2021,2069.116107517532,2725.490411707763,1508.207888296546
DALYs (Disability-Adjusted Life Years),Costa Rica,Both,Age-standardized,Schizophrenia,Rate,2021,216.3652051804794,283.6698559526082,151.5969366006499
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Conduct disorder,Rate,2021,47.312478915830134,78.20383815629906,26.21677547259319
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,27.450379308571037,53.061837224838236,11.612948698088639
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Other mental disorders,Rate,2021,112.59312795515893,160.1485436226851,73.86184511124846
DALYs (Disability-Adjusted Life Years),Armenia,Both,Age-standardized,Mental disorders,Rate,2021,2087.791575570267,2792.883232708695,1450.2968930556733
DALYs (Disability-Adjusted Life Years),Armenia,Both,Age-standardized,Schizophrenia,Rate,2021,199.62098906653202,257.0066012464222,140.0047691193627
DALYs (Disability-Adjusted Life Years),Rwanda,Both,Age-standardized,Autism spectrum disorders,Rate,2021,155.0476932009615,315.03443349840364,71.26032291352504
DALYs (Disability-Adjusted Life Years),Rwanda,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,50.929762400312924,78.1676263294038,29.764802557869388
DALYs (Disability-Adjusted Life Years),Rwanda,Both,Age-standardized,Conduct disorder,Rate,2021,70.57973182419185,111.04429567194703,40.86814924339367
DALYs (Disability-Adjusted Life Years),Rwanda,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,14.762722322562468,31.445373672884777,5.275124932452495
DALYs (Disability-Adjusted Life Years),Rwanda,Both,Age-standardized,Other mental disorders,Rate,2021,110.01881387121685,155.30781283427913,72.4583970526164
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Mental disorders,Rate,2021,3021.899693177723,4003.9398231486107,2155.7489443200484
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Schizophrenia,Rate,2021,171.27129451572748,221.36074054194938,117.05031043607774
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Mental disorders,Rate,2021,2334.7568649108366,3005.077446589563,1697.8682231409193
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Schizophrenia,Rate,2021,212.72919176219418,270.8183368094399,151.690716449478
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,37.65384209432211,55.98024014018038,22.080920159054198
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Conduct disorder,Rate,2021,58.346621291910544,94.3455380488827,32.595756395842365
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,28.003535660235688,52.87499084859077,12.489605504639686
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Other mental disorders,Rate,2021,112.37517302076024,161.46922601669732,74.76608683804805
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Depressive disorders,Rate,2021,597.2809849230582,869.0346829328215,406.5630692108713
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Bipolar disorder,Rate,2021,89.48537483419503,125.79783429802326,57.86065399091655
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Anxiety disorders,Rate,2021,371.33990586402797,596.8280314553733,222.0834323107338
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Eating disorders,Rate,2021,84.02760073959429,125.05211502764298,48.66467686373612
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Bipolar disorder,Rate,2021,140.830173124689,208.7129736902353,84.31150222848254
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Anxiety disorders,Rate,2021,666.771660583305,945.7115446652717,456.3023592374935
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Eating disorders,Rate,2021,40.47480740548086,61.99189658944954,22.57507296582061
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Autism spectrum disorders,Rate,2021,121.02877150389263,213.84150581488285,63.060364008545704
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,46.81773816765433,70.14784065079944,27.099156815683596
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Conduct disorder,Rate,2021,53.55918463298893,86.68567493807824,29.996259736910723
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,34.024391684819186,63.12260329226716,15.99406628310005
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Other mental disorders,Rate,2021,111.01721740733211,156.5709949333039,72.45049389773109
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Autism spectrum disorders,Rate,2021,109.19146633352973,221.1449010296795,50.385740725686105
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,105.40666370880176,154.97633080332608,62.06232573895424
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Conduct disorder,Rate,2021,68.2377403908443,106.54352059879064,38.52045512450287
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,22.287046275176266,48.96619624596289,6.793660299184579
DALYs (Disability-Adjusted Life Years),Haiti,Both,Age-standardized,Other mental disorders,Rate,2021,109.46773751611865,156.024235393291,71.63628325693507
DALYs (Disability-Adjusted Life Years),Bulgaria,Both,Age-standardized,Eating disorders,Rate,2021,47.85189070288627,71.33144839033807,27.25251194666996
DALYs (Disability-Adjusted Life Years),Bulgaria,Both,Age-standardized,Autism spectrum disorders,Rate,2021,118.39963810962126,232.02614171436986,53.254198252180714
DALYs (Disability-Adjusted Life Years),Bulgaria,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,24.894387189794113,38.00598166180126,14.244048327474086
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Depressive disorders,Rate,2021,728.2353373911518,1005.4958366243542,507.13370773181003
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Bipolar disorder,Rate,2021,134.17551508416764,193.20383978440594,80.31663159302494
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Anxiety disorders,Rate,2021,1018.2026635947942,1416.2802365007628,708.0541212749482
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Eating disorders,Rate,2021,178.23313868135097,269.95740856059723,106.72696307446297
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Autism spectrum disorders,Rate,2021,182.13611810700266,307.2682956915289,98.59707079589073
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,49.15993834706564,73.82079515787572,28.404636442406783
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Conduct disorder,Rate,2021,72.78258499527116,114.17028054433754,41.28994526528702
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,23.231100009889108,47.05659327884077,8.968900890064063
DALYs (Disability-Adjusted Life Years),Monaco,Both,Age-standardized,Other mental disorders,Rate,2021,120.35595338273765,170.13751325704337,77.52180504450355
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Mental disorders,Rate,2021,2180.483570908121,2944.109389041389,1573.6135057595593
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Schizophrenia,Rate,2021,206.20213821617747,264.52386523824055,146.23893766667723
DALYs (Disability-Adjusted Life Years),Guinea-Bissau,Both,Age-standardized,Mental disorders,Rate,2021,1994.8483508878821,2660.567452844662,1450.3804280747402
DALYs (Disability-Adjusted Life Years),Bhutan,Both,Age-standardized,Mental disorders,Rate,2021,1669.827121592611,2209.244753924861,1228.3296903267358
DALYs (Disability-Adjusted Life Years),Bhutan,Both,Age-standardized,Schizophrenia,Rate,2021,225.6056955444576,294.0079183278651,156.3001104496761
DALYs (Disability-Adjusted Life Years),Palestine,Both,Age-standardized,Depressive disorders,Rate,2021,907.5037286384787,1279.614719150342,624.9574574360279
DALYs (Disability-Adjusted Life Years),Gabon,Both,Age-standardized,Mental disorders,Rate,2021,2386.215806626195,3232.145668169372,1679.3888747482065
DALYs (Disability-Adjusted Life Years),Gabon,Both,Age-standardized,Schizophrenia,Rate,2021,180.40982043872523,236.69719401931997,123.54689517058365
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Autism spectrum disorders,Rate,2021,121.77004770675549,249.78611254204563,54.27716853322868
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Attention-deficit/hyperactivity disorder,Rate,2021,42.9795174474579,64.60524987364929,24.826973128956883
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Conduct disorder,Rate,2021,71.36211033763695,116.51911353465603,40.20419357778664
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Idiopathic developmental intellectual disability,Rate,2021,15.5729520609411,33.612618770584355,6.129937003448593
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Other mental disorders,Rate,2021,108.25095048439081,154.76449512450276,70.40411549706971
DALYs (Disability-Adjusted Life Years),Jamaica,Both,Age-standardized,Mental disorders,Rate,2021,2239.650842272337,2968.7100688043597,1614.1287018650419
DALYs (Disability-Adjusted Life Years),Saint Kitts and Nevis,Both,Age-standardized,Depressive disorders,Rate,2021,653.3847742345582,948.2739526546857,432.69469473310886
DALYs (Disability-Adjusted Life Years),Zimbabwe,Both,Age-standardized,Mental disorders,Rate,2021,1880.185396400609,2533.2630476893873,1331.5942284798584
DALYs (Disability-Adjusted Life Years),Zimbabwe,Both,Age-standardized,Schizophrenia,Rate,2021,168.57000789481518,219.19238313168557,117.05443002810897
DALYs (Disability-Adjusted Life Years),Zimbabwe,Both,Age-standardized,Depressive disorders,Rate,2021,663.5575216331672,984.124316147637,432.80209712515006
